site,type,tmp_id,brw_count,species,visit,Stage,wpt,brw,lat,lon,elevation,time,date,width,height,diggings,smell,feathers,scat,nest_mat,chick_down,eggshell,runway,recent_sign,contents,cam_content,bs_content,pb_content,ctrap_content,status,est_vs_status_cam,est_vs_status_bs,In or out of site,playback_resp,obs_method,Burrow marker type,Notes,Burrowscoper
PLAB2,AP,,1,,1,Incubation,1422,AP218,-54.58808603,158.893937,178.982285,6:18:05,3/01/2018,18,17,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLC1.5,AP,,1,Antarctic Prion,1,Incubation,1403,AP219,-54.58823103,158.893297,184.637772,5:36:08,3/01/2018,14,13,n,n,n,n,n,n,n,,,,,,occupied,,,,,,Y,,,,
PLAB2,AP,,1,,1,Incubation,1420,AP220,-54.587793,158.893613,181.832977,6:11:47,3/01/2018,14,9,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLBC2,AP,,1,Antarctic Prion,1,Incubation,1411,AP221,-54.58790397,158.89321,185.861267,5:51:07,3/01/2018,15,14,n,n,n,n,n,n,n,,,,,,occupied,,,,,,Y,,,,
PLC1.5,AP,,1,,1,Incubation,1405,AP222,-54.58820597,158.893333,183.281799,5:39:55,3/01/2018,13,11,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLC1.5,AP,,1,,1,Incubation,1399,AP224,-54.58824696,158.893252,185.572037,5:32:42,3/01/2018,14,8,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLBC2,AP,,1,,1,Incubation,1415,AP225,-54.58779903,158.893354,183.85434,5:55:14,3/01/2018,14,8,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLAB2,AP,,1,,1,Incubation,1417,AP227,-54.58739704,158.893933,175.068817,6:03:47,3/01/2018,13,8,y,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLC1.5,AP,,1,,1,Incubation,1400,AP228,-54.58823598,158.893267,184.419006,5:34:04,3/01/2018,13,9,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLC1.5,AP,,1,,1,Incubation,1402,AP230,-54.58822802,158.89331,183.053085,5:34:51,3/01/2018,13,17,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLC1.5,AP,,1,,1,Incubation,1401,AP231,-54.58823598,158.893307,183.096542,5:34:47,3/01/2018,11,10,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLC2,AP,,1,Antarctic Prion,1,Incubation,1406,AP233,-54.58799399,158.892951,186.648743,5:44:55,3/01/2018,25,20,n,n,y,y,n,n,n,,,,,,occupied,,,,,,Y,,,,
PLB2,AP,,2,Antarctic Prion,2,Incubation,1416,AP234,-54.58743299,158.893907,173.942093,6:03:03,3/01/2018,23,11,n,n,n,n,n,n,n,,,,,,occupied,,,,,,Y,,,,
PLC1,AP,,2,Antarctic Prion,1,Incubation,1396,AP234,-54.58825903,158.893262,183.3909,5:30:43,3/01/2018,20,11,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLC1,AP,,1,Antarctic Prion,1,Incubation,1394,AP235,-54.58824403,158.893324,182.984497,5:28:55,3/01/2018,23,14,n,n,n,n,n,n,n,,,,,,occupied,,,,,,Y,,,,
PLC1.5,AP,,1,,1,Incubation,1398,AP236,-54.588254,158.893281,184.406723,5:31:19,3/01/2018,19,13,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLC1.5,AP,,1,,1,Incubation,1397,AP237,-54.58824797,158.893272,183.74292,5:30:46,3/01/2018,17,13,n,n,n,n,n,n,n,,,,,,,,,,,,N,,,,
PLC1,AP,,1,Antarctic Prion,1,Incubation,1395,AP238,-54.58824503,158.893324,183.12854,5:29:21,3/01/2018,12,10,n,n,n,n,n,n,n,,,,,,occupied,,,,,,Y,,,,
SLBC1,AP,,0,,1,Incubation,1173,,-54.57188004,158.896294,157.604279,5:01:20,22/12/2017,,,n,n,n,n,n,n,n,,,,,,,,,,,,N,,New - wood,,
SLBC1,AP,,0,Antarctic Prion,1,Incubation,1174,,-54.57192304,158.896242,157.164536,5:02:33,22/12/2017,,,n,n,n,n,n,n,n,,,,,,occupied,,,,,,Y,,New - wood,,
SLBC1,AP,,0,,1,Incubation,1175,,-54.57192798,158.896258,157.591553,5:03:00,22/12/2017,,,n,n,n,n,n,n,n,,,,,,,,,,,,N,,New - wood,,
SLBC1,AP,,0,,1,Incubation,1176,,-54.571931,158.896268,159.094437,5:03:20,22/12/2017,,,n,n,n,n,n,n,n,,,,,,,,,,,,N,,New - wood,,
SLBC1,AP,,0,Antarctic Prion,1,Incubation,1177,,-54.57194097,158.896224,160.457764,5:04:02,22/12/2017,,,n,n,n,n,n,n,n,,,,,,occupied,,,,,,Y,,New - wood,,
SLBC1,AP,,0,,1,Incubation,1178,,-54.57202001,158.896271,161.623688,5:05:56,22/12/2017,,,n,n,n,n,n,n,n,,,,,,,,,,,,N,,New - wood,,
SLBC1,AP,,0,Antarctic Prion,1,Incubation,1179,,-54.57207399,158.896236,162.93219,5:06:31,22/12/2017,,,n,n,n,n,n,n,n,,,,,,occupied,,,,,,Y,,New - wood,,
SLBC1,AP,,0,,1,Incubation,1180,,-54.57214197,158.89614,165.627625,5:08:09,22/12/2017,,,n,n,n,n,n,n,n,,,,,,,,,,,,N,,New - wood,,
